Date,BTC-USD_ADJCLOSE,BTC-USD_CLOSE,BTC-USD_HIGH,BTC-USD_LOW,BTC-USD_OPEN,BTC-USD_VOLUME
2017-04-26,1281.0799560546875,1281.0799560546875,1294.8299560546875,1265.9300537109375,1265.989990234375,329631008
2017-04-27,1317.72998046875,1317.72998046875,1319.699951171875,1281.300048828125,1281.8800048828125,449196992
2017-04-28,1316.47998046875,1316.47998046875,1331.280029296875,1292.3699951171875,1317.739990234375,527488992
2017-04-29,1321.7900390625,1321.7900390625,1327.199951171875,1315.2099609375,1317.8399658203125,422705984
2017-04-30,1347.8900146484375,1347.8900146484375,1347.9100341796875,1314.9200439453125,1321.8699951171875,413115008
2017-05-01,1421.5999755859375,1421.5999755859375,1434.3199462890625,1348.300048828125,1348.300048828125,713624000
2017-05-02,1452.8199462890625,1452.8199462890625,1473.9000244140625,1415.68994140625,1421.030029296875,477337984
2017-05-03,1490.0899658203125,1490.0899658203125,1492.77001953125,1447.489990234375,1453.780029296875,583795968
2017-05-04,1537.6700439453125,1537.6700439453125,1608.9100341796875,1490.719970703125,1490.719970703125,933548992
2017-05-05,1555.449951171875,1555.449951171875,1618.030029296875,1530.31005859375,1540.8699951171875,946035968
2017-05-06,1578.800048828125,1578.800048828125,1578.800048828125,1542.5,1556.81005859375,582529984
2017-05-07,1596.7099609375,1596.7099609375,1596.719970703125,1559.760009765625,1579.469970703125,1080029952
2017-05-08,1723.3499755859375,1723.3499755859375,1723.3499755859375,1596.9200439453125,1596.9200439453125,1340320000
2017-05-09,1755.3599853515625,1755.3599853515625,1833.489990234375,1716.300048828125,1723.8900146484375,1167920000
2017-05-10,1787.1300048828125,1787.1300048828125,1788.43994140625,1719.0999755859375,1756.52001953125,915723008
2017-05-11,1848.5699462890625,1848.5699462890625,1873.9300537109373,1755.3499755859375,1780.3699951171875,799489984
2017-05-12,1724.239990234375,1724.239990234375,1856.1500244140625,1694.010009765625,1845.760009765625,740984000
2017-05-13,1804.9100341796875,1804.9100341796875,1812.989990234375,1651.0799560546875,1723.1199951171875,579635008
2017-05-14,1808.9100341796875,1808.9100341796875,1831.4200439453125,1776.6199951171875,1800.8599853515625,437196000
2017-05-15,1738.4300537109375,1738.4300537109375,1812.800048828125,1708.5400390625,1808.43994140625,731529024
2017-05-16,1734.449951171875,1734.449951171875,1785.93994140625,1686.5400390625,1741.699951171875,959044992
2017-05-17,1839.0899658203125,1839.0899658203125,1864.050048828125,1661.9100341796875,1726.72998046875,1064729984
2017-05-18,1888.6500244140625,1888.6500244140625,1904.47998046875,1807.1199951171875,1818.699951171875,894321024
2017-05-19,1987.7099609375,1987.7099609375,2004.52001953125,1890.25,1897.3699951171875,1157289984
2017-05-20,2084.72998046875,2084.72998046875,2084.72998046875,1974.9200439453125,1984.239990234375,961336000
2017-05-21,2041.199951171875,2041.199951171875,2119.080078125,2037.5,2067.030029296875,1147859968
2017-05-22,2173.39990234375,2173.39990234375,2303.89990234375,2017.8699951171875,2043.18994140625,1942220032
2017-05-23,2320.419921875,2320.419921875,2320.820068359375,2178.5,2191.56005859375,1378749952
2017-05-24,2443.639892578125,2443.639892578125,2523.719970703125,2321.3701171875,2321.3701171875,1725379968
